,Coverages,Variants,Read Mean Length,Read Count,Duplication
Coverages,1,0.552092519,0.12900921,0.991541254,0.291993491
Variants,0.552092519,1,0.382817028,0.506538456,-0.008487121
Read Mean Length,0.12900921,0.382817028,1,0.004398556,-0.031126592
Read Count,0.991541254,0.506538456,0.004398556,1,0.299405714
Duplication,0.291993491,-0.008487121,-0.031126592,0.299405714,1
